,product_page_url,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5,total_images_found
48,https://www.but.fr/produits/4251182715008/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182715008_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182715008_F.jpg,,,,2
49,https://www.but.fr/produits/4251182715756/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182715756_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182715756_F.jpg,,,,2
50,https://www.but.fr/produits/4251182715763/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182715763_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182715763_F.jpg,,,,2
51,https://www.but.fr/produits/4251182717644/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717644_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717644_F.jpg,,,,2
52,https://www.but.fr/produits/4251182717651/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717651_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717651_F.jpg,,,,2
53,https://www.but.fr/produits/4251182717668/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717668_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717668_F.jpg,,,,2
54,https://www.but.fr/produits/4251182717675/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717675_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717675_F.jpg,,,,2
55,https://www.but.fr/produits/4251182717682/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717682_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717682_F.jpg,,,,2
56,https://www.but.fr/produits/4251182717699/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717699_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717699_F.jpg,,,,2
57,https://www.but.fr/produits/4251182717705/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717705_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717705_F.jpg,,,,2
58,https://www.but.fr/produits/4251182717712/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717712_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717712_F.jpg,,,,2
59,https://www.but.fr/produits/4251182717729/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717729_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717729_F.jpg,,,,2
60,https://www.but.fr/produits/4251182717736/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717736_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717736_F.jpg,,,,2
61,https://www.but.fr/produits/4251182717743/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717743_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717743_F.jpg,,,,2
62,https://www.but.fr/produits/4251182717750/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717750_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717750_F.jpg,,,,2
63,https://www.but.fr/produits/4251182717767/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717767_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717767_F.jpg,,,,2
64,https://www.but.fr/produits/4251182717774/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717774_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717774_F.jpg,,,,2
65,https://www.but.fr/produits/4251182717781/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717781_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717781_F.jpg,,,,2
66,https://www.but.fr/produits/4251182717798/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182717798_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182717798_F.jpg,,,,2
67,https://www.but.fr/produits/4251182718030/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182718030_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182718030_D.jpg,https://media.but.fr/images_produits/produit-zoom/4251182718030_A.jpg,,,3
68,https://www.but.fr/produits/4251182718047/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182718047_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182718047_F.jpg,https://media.but.fr/images_produits/produit-zoom/4251182718047_D.jpg,,,3
69,https://www.but.fr/produits/4251182718054/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182718054_Q.jpg,,,,,1
70,https://www.but.fr/produits/4251182718474/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182718474_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182718474_F.jpg,https://media.but.fr/images_produits/produit-zoom/4251182718474_D.jpg,,,3
71,https://www.but.fr/produits/4251182719020/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182719020_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182719020_F.jpg,,,,2
72,https://www.but.fr/produits/4251182719037/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182719037_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182719037_P.jpg,,,,2
73,https://www.but.fr/produits/4894223191159/fiche.html,https://media.but.fr/images_produits/produit-zoom/4894223191159_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4894223191159_F.jpg,https://media.but.fr/images_produits/produit-zoom/4894223191159_D.jpg,https://media.but.fr/images_produits/produit-zoom/4894223191159_A.jpg,,4
74,https://www.but.fr/produits/4894223191265/fiche.html,https://media.but.fr/images_produits/produit-zoom/4894223191265_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4894223191265_F.jpg,https://media.but.fr/images_produits/produit-zoom/4894223191265_P.jpg,https://media.but.fr/images_produits/produit-zoom/4894223191265_D.jpg,,4
75,https://www.but.fr/produits/4894223192033/fiche.html,https://media.but.fr/images_produits/produit-zoom/4894223192033_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4894223192033_F.jpg,https://media.but.fr/images_produits/produit-zoom/4894223192033_P.jpg,https://media.but.fr/images_produits/produit-zoom/4894223192033_D.jpg,https://media.but.fr/images_produits/produit-zoom/4894223192033_A.jpg,5
76,https://www.but.fr/produits/4894223201964/fiche.html,https://media.but.fr/images_produits/produit-zoom/4894223201964_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4894223201964_F.jpg,https://media.but.fr/images_produits/produit-zoom/4894223201964_P.jpg,https://media.but.fr/images_produits/produit-zoom/4894223201964_D.jpg,https://media.but.fr/images_produits/produit-zoom/4894223201964_A.jpg,5
77,https://www.but.fr/produits/4894223204736/fiche.html,https://media.but.fr/images_produits/produit-zoom/4894223204736_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4894223204736_F.jpg,https://media.but.fr/images_produits/produit-zoom/4894223204736_D.jpg,https://media.but.fr/images_produits/produit-zoom/4894223204736_A.jpg,,4
78,https://www.but.fr/produits/4894223204910/fiche.html,https://media.but.fr/images_produits/produit-zoom/4894223204910_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4894223204910_F.jpg,https://media.but.fr/images_produits/produit-zoom/4894223204910_P.jpg,https://media.but.fr/images_produits/produit-zoom/4894223204910_D.jpg,https://media.but.fr/images_produits/produit-zoom/4894223204910_A.jpg,5
79,https://www.but.fr/produits/4894223207669/fiche.html,https://media.but.fr/images_produits/produit-zoom/4894223207669_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4894223207669_F.jpg,https://media.but.fr/images_produits/produit-zoom/4894223207669_P.jpg,https://media.but.fr/images_produits/produit-zoom/4894223207669_D.jpg,https://media.but.fr/images_produits/produit-zoom/4894223207669_A.jpg,5
80,https://www.but.fr/produits/4894223222839/fiche.html,https://media.but.fr/images_produits/produit-zoom/4894223222839_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4894223222839_F.jpg,https://media.but.fr/images_produits/produit-zoom/4894223222839_P.jpg,https://media.but.fr/images_produits/produit-zoom/4894223222839_D.jpg,https://media.but.fr/images_produits/produit-zoom/4894223222839_A.jpg,5
